Name,Set,Color,ColorID,Type,Subtype,CMC,Rarity,Text,Keywords,Power,Toughness,Printings,Layout,Side
Forest,IKO,,G,Land,Forest,0,Common,({T}: Add {G}.),,,,"10E, 2ED, 2XM, 3ED, 4BB, 4ED, 5ED, 6ED, 7ED, 8ED, 9ED, AKH, AKR, ALA, ANA, ANB, ARC, ATH, AVR, BBD, BFZ, BRB, BTD, C13, C14, C15, C16, C17, C18, C19, CED, CEI, CHK, CM2, CMA, CMD, CMR, CST, DD1, DDD, DDE, DDG, DDH, DDJ, DDL, DDM, DDO, DDP, DDR, DDS, DDU, DKM, DOM, DPA, DTK, E01, ELD, EVG, FBB, FRF, G17, GK1, GK2, GN2, GNT, GRN, GS1, GVL, H09, HOP, HOU, ICE, IKO, INV, ISD, ITP, J14, JMP, KHM, KLD, KLR, KTK, LEA, LEB, LRW, M10, M11, M12, M13, M14, M15, M19, M20, M21, MBS, ME1, ME3, MIR, MMQ, MRD, NPH, ODY, ONS, ORI, P02, PAL00, PAL01, PAL03, PAL04, PAL05, PAL06, PAL99, PALP, PANA, PARL, PC2, PCA, PELP, PF19, PF20, PGPX, PGRU, PMPS, PMPS06, PMPS07, PMPS08, PMPS09, PMPS10, PMPS11, POR, PPP1, PRM, PRW2, PRWK, PS11, PSAL, PSS2, PSS3, PTC, PTK, PZ2, RAV, RIX, RNA, ROE, RQS, RTR, S99, SHM, SLD, SOI, SOM, STX, SUM, TD0, TD2, THB, THS, TMP, TPR, TSP, UGL, UND, UNH, USG, UST, WAR, WC00, WC01, WC02, WC03, WC04, WC97, WC98, WC99, XANA, XLN, ZEN, ZNR",Normal,
Forest,IKO,,G,Land,Forest,0,Common,({T}: Add {G}.),,,,"10E, 2ED, 2XM, 3ED, 4BB, 4ED, 5ED, 6ED, 7ED, 8ED, 9ED, AKH, AKR, ALA, ANA, ANB, ARC, ATH, AVR, BBD, BFZ, BRB, BTD, C13, C14, C15, C16, C17, C18, C19, CED, CEI, CHK, CM2, CMA, CMD, CMR, CST, DD1, DDD, DDE, DDG, DDH, DDJ, DDL, DDM, DDO, DDP, DDR, DDS, DDU, DKM, DOM, DPA, DTK, E01, ELD, EVG, FBB, FRF, G17, GK1, GK2, GN2, GNT, GRN, GS1, GVL, H09, HOP, HOU, ICE, IKO, INV, ISD, ITP, J14, JMP, KHM, KLD, KLR, KTK, LEA, LEB, LRW, M10, M11, M12, M13, M14, M15, M19, M20, M21, MBS, ME1, ME3, MIR, MMQ, MRD, NPH, ODY, ONS, ORI, P02, PAL00, PAL01, PAL03, PAL04, PAL05, PAL06, PAL99, PALP, PANA, PARL, PC2, PCA, PELP, PF19, PF20, PGPX, PGRU, PMPS, PMPS06, PMPS07, PMPS08, PMPS09, PMPS10, PMPS11, POR, PPP1, PRM, PRW2, PRWK, PS11, PSAL, PSS2, PSS3, PTC, PTK, PZ2, RAV, RIX, RNA, ROE, RQS, RTR, S99, SHM, SLD, SOI, SOM, STX, SUM, TD0, TD2, THB, THS, TMP, TPR, TSP, UGL, UND, UNH, USG, UST, WAR, WC00, WC01, WC02, WC03, WC04, WC97, WC98, WC99, XANA, XLN, ZEN, ZNR",Normal,
"Zilortha, Strength Incarnate",IKO,"G, R","G, R",Creature,Dinosaur,5,Mythic,"Trample
Lethal damage dealt to creatures you control is determined by their power rather than their toughness.",Trample,7,3,IKO,Normal,
"Lukka, Coppercoat Outcast",IKO,R,R,Planeswalker,Lukka,5,Mythic,"[+1]: Exile the top three cards of your library. Creature cards exiled this way gain ""You may cast this card from exile as long as you control a Lukka planeswalker.""
[−2]: Exile target creature you control, then reveal cards from the top of your library until you reveal a creature card with higher mana value. Put that card onto the battlefield and the rest on the bottom of your library in a random order.
[−7]: Each creature you control deals damage equal to its power to each opponent.",,,,"IKO, PIKO, PLIST",Normal,
"Vivien, Monsters' Advocate",IKO,G,G,Planeswalker,Vivien,5,Mythic,"You may look at the top card of your library any time.
You may cast creature spells from the top of your library.
[+1]: Create a 3/3 green Beast creature token. Put your choice of a vigilance counter, a reach counter, or a trample counter on it.
[−2]: When you cast your next creature spell this turn, search your library for a creature card with lesser mana value, put it onto the battlefield, then shuffle.",,,,"IKO, PIKO",Normal,
Narset of the Ancient Way,IKO,"R, U, W","R, U, W",Planeswalker,Narset,4,Mythic,"[+1]: You gain 2 life. Add {U}, {R}, or {W}. Spend this mana only to cast a noncreature spell.
[−2]: Draw a card, then you may discard a card. When you discard a nonland card this way, Narset of the Ancient Way deals damage equal to that card's mana value to target creature or planeswalker.
[−6]: You get an emblem with ""Whenever you cast a noncreature spell, this emblem deals 2 damage to any target.""",,,,"IKO, PIKO",Normal,
Cubwarden,IKO,W,W,Creature,Cat,4,Rare,"Mutate {2}{W}{W} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Lifelink
Whenever this creature mutates, create two 1/1 white Cat creature tokens with lifelink.","Lifelink, Mutate",3,5,"IKO, PIKO",Normal,
Huntmaster Liger,IKO,W,W,Creature,Cat,4,Uncommon,"Mutate {2}{W} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Whenever this creature mutates, other creatures you control get +X/+X until end of turn, where X is the number of times this creature has mutated.",Mutate,3,4,IKO,Normal,
Majestic Auricorn,IKO,W,W,Creature,Unicorn,5,Uncommon,"Mutate {3}{W} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Vigilance
Whenever this creature mutates, you gain 4 life.","Mutate, Vigilance",4,4,IKO,Normal,
Vulpikeet,IKO,W,W,Creature,"Fox, Bird",4,Common,"Mutate {2}{W} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Flying
Whenever this creature mutates, put a +1/+1 counter on it.","Flying, Mutate",2,3,IKO,Normal,
Archipelagore,IKO,U,U,Creature,Leviathan,7,Uncommon,"Mutate {5}{U} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Whenever this creature mutates, tap up to X target creatures, where X is the number of times this creature has mutated. Those creatures don't untap during their controller's next untap step.",Mutate,7,7,IKO,Normal,
Dreamtail Heron,IKO,U,U,Creature,"Elemental, Bird",5,Common,"Mutate {3}{U} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Flying
Whenever this creature mutates, draw a card.","Flying, Mutate",3,4,IKO,Normal,
Pouncing Shoreshark,IKO,U,U,Creature,"Shark, Beast",5,Uncommon,"Mutate {3}{U} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Flash
Whenever this creature mutates, you may return target creature an opponent controls to its owner's hand.","Flash, Mutate",4,3,"IKO, PLIST",Normal,
Sea-Dasher Octopus,IKO,U,U,Creature,Octopus,3,Rare,"Mutate {1}{U} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Flash
Whenever this creature deals combat damage to a player, draw a card.","Flash, Mutate",2,2,"IKO, PIKO",Normal,
Cavern Whisperer,IKO,B,B,Creature,Nightmare,5,Common,"Mutate {3}{B} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Menace (This creature can't be blocked except by two or more creatures.)
Whenever this creature mutates, each opponent discards a card.","Menace, Mutate",4,4,IKO,Normal,
Chittering Harvester,IKO,B,B,Creature,Nightmare,6,Uncommon,"Mutate {4}{B} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Whenever this creature mutates, each opponent sacrifices a creature.",Mutate,4,6,IKO,Normal,
Dirge Bat,IKO,B,B,Creature,Bat,4,Rare,"Mutate {4}{B}{B} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Flash
Flying
Whenever this creature mutates, destroy target creature or planeswalker an opponent controls.","Flash, Flying, Mutate",3,3,"IKO, PIKO",Normal,
Insatiable Hemophage,IKO,B,B,Creature,Nightmare,4,Uncommon,"Mutate {2}{B} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Deathtouch
Whenever this creature mutates, each opponent loses X life and you gain X life, where X is the number of times this creature has mutated.","Deathtouch, Mutate",3,3,IKO,Normal,
Cloudpiercer,IKO,R,R,Creature,Dinosaur,5,Common,"Mutate {3}{R} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Reach
Whenever this creature mutates, you may discard a card. If you do, draw a card.","Mutate, Reach",5,4,IKO,Normal,
Everquill Phoenix,IKO,R,R,Creature,Phoenix,4,Rare,"Mutate {3}{R} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Flying
Whenever this creature mutates, create a red artifact token named Feather with ""{1}, Sacrifice Feather: Return target Phoenix card from your graveyard to the battlefield tapped.""","Flying, Mutate",4,4,"IKO, PIKO",Normal,
Porcuparrot,IKO,R,R,Creature,"Bird, Beast",4,Uncommon,"Mutate {2}{R} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
{T}: This creature deals X damage to any target, where X is the number of times this creature has mutated.",Mutate,3,4,IKO,Normal,
Auspicious Starrix,IKO,G,G,Creature,"Elk, Beast",5,Uncommon,"Mutate {5}{G} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Whenever this creature mutates, exile cards from the top of your library until you exile X permanent cards, where X is the number of times this creature has mutated. Put those permanent cards onto the battlefield.",Mutate,6,6,IKO,Normal,
Gemrazer,IKO,G,G,Creature,Beast,4,Rare,"Mutate {1}{G}{G} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Reach, trample
Whenever this creature mutates, destroy target artifact or enchantment an opponent controls.","Mutate, Reach, Trample",4,4,"IKO, PIKO",Normal,
Glowstone Recluse,IKO,G,G,Creature,Spider,3,Uncommon,"Mutate {3}{G} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Reach
Whenever this creature mutates, put two +1/+1 counters on it.","Mutate, Reach",2,3,IKO,Normal,
Migratory Greathorn,IKO,G,G,Creature,Beast,4,Common,"Mutate {2}{G} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Whenever this creature mutates, search your library for a basic land card, put it onto the battlefield tapped, then shuffle.",Mutate,3,4,IKO,Normal,
Boneyard Lurker,IKO,"B, G","B, G",Creature,"Nightmare, Beast",4,Uncommon,"Mutate {2}{B/G}{B/G} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Whenever this creature mutates, return target permanent card from your graveyard to your hand.",Mutate,4,4,IKO,Normal,
"Brokkos, Apex of Forever",IKO,"B, G, U","B, G, U",Creature,"Nightmare, Beast, Elemental",5,Mythic,"Mutate {2}{U/B}{G}{G} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Trample
You may cast Brokkos, Apex of Forever from your graveyard using its mutate ability.","Mutate, Trample",6,6,"IKO, PIKO",Normal,
"Illuna, Apex of Wishes",IKO,"G, R, U","G, R, U",Creature,"Beast, Elemental, Dinosaur",5,Mythic,"Mutate {3}{R/G}{U}{U} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Flying, trample
Whenever this creature mutates, exile cards from the top of your library until you exile a nonland permanent card. Put that card onto the battlefield or into your hand.","Flying, Mutate, Trample",6,6,"IKO, PIKO",Normal,
Lore Drakkis,IKO,"R, U","R, U",Creature,"Lizard, Beast",3,Uncommon,"Mutate {U/R}{U/R} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Whenever this creature mutates, return target instant or sorcery card from your graveyard to your hand.",Mutate,2,3,IKO,Normal,
Necropanther,IKO,"B, W","B, W",Creature,"Cat, Nightmare",3,Uncommon,"Mutate {2}{W/B}{W/B} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Whenever this creature mutates, return target creature card with mana value 3 or less from your graveyard to the battlefield.",Mutate,3,3,IKO,Normal,
"Nethroi, Apex of Death",IKO,"B, G, W","B, G, W",Creature,"Cat, Nightmare, Beast",5,Mythic,"Mutate {4}{G/W}{B}{B} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Deathtouch, lifelink
Whenever this creature mutates, return any number of target creature cards with total power 10 or less from your graveyard to the battlefield.","Deathtouch, Lifelink, Mutate",5,5,"IKO, PIKO",Normal,
Parcelbeast,IKO,"G, U","G, U",Creature,"Elemental, Beast",4,Uncommon,"Mutate {G}{U} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
{1}, {T}: Look at the top card of your library. If it's a land card, you may put it onto the battlefield. If you don't put the card onto the battlefield, put it into your hand.",Mutate,2,4,"IKO, PLIST",Normal,
Regal Leosaur,IKO,"R, W","R, W",Creature,"Dinosaur, Cat",2,Uncommon,"Mutate {1}{R/W}{R/W} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Whenever this creature mutates, other creatures you control get +2/+1 until end of turn.",Mutate,2,2,IKO,Normal,
"Snapdax, Apex of the Hunt",IKO,"B, R, W","B, R, W",Creature,"Dinosaur, Cat, Nightmare",4,Mythic,"Mutate {2}{B/R}{W}{W} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Double strike
Whenever this creature mutates, it deals 4 damage to target creature or planeswalker an opponent controls and you gain 4 life.","Double strike, Mutate",3,5,"IKO, PIKO",Normal,
Trumpeting Gnarr,IKO,"G, U","G, U",Creature,Beast,3,Uncommon,"Mutate {3}{G/U}{G/U} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Whenever this creature mutates, create a 3/3 green Beast creature token.",Mutate,3,3,IKO,Normal,
"Vadrok, Apex of Thunder",IKO,"R, U, W","R, U, W",Creature,"Elemental, Dinosaur, Cat",3,Mythic,"Mutate {1}{W/U}{R}{R} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Flying, first strike
Whenever this creature mutates, you may cast target noncreature card with mana value 3 or less from your graveyard without paying its mana cost.","First strike, Flying, Mutate",3,3,"IKO, PIKO",Normal,
Indatha Triome,IKO,,"B, G, W",Land,"Plains, Swamp, Forest",0,Rare,"({T}: Add {W}, {B}, or {G}.)
Indatha Triome enters the battlefield tapped.
Cycling {3} ({3}, Discard this card: Draw a card.)",Cycling,,,"IKO, PIKO",Normal,
Ketria Triome,IKO,,"G, R, U",Land,"Forest, Island, Mountain",0,Rare,"({T}: Add {G}, {U}, or {R}.)
Ketria Triome enters the battlefield tapped.
Cycling {3} ({3}, Discard this card: Draw a card.)",Cycling,,,"IKO, PIKO",Normal,
Raugrin Triome,IKO,,"R, U, W",Land,"Island, Mountain, Plains",0,Rare,"({T}: Add {U}, {R}, or {W}.)
Raugrin Triome enters the battlefield tapped.
Cycling {3} ({3}, Discard this card: Draw a card.)",Cycling,,,"IKO, PIKO",Normal,
Savai Triome,IKO,,"B, R, W",Land,"Mountain, Plains, Swamp",0,Rare,"({T}: Add {R}, {W}, or {B}.)
Savai Triome enters the battlefield tapped.
Cycling {3} ({3}, Discard this card: Draw a card.)",Cycling,,,"IKO, PIKO",Normal,
Zagoth Triome,IKO,,"B, G, U",Land,"Swamp, Forest, Island",0,Rare,"({T}: Add {B}, {G}, or {U}.)
Zagoth Triome enters the battlefield tapped.
Cycling {3} ({3}, Discard this card: Draw a card.)",Cycling,,,"IKO, PIKO",Normal,
Drannith Magistrate,IKO,W,W,Creature,"Human, Wizard",2,Rare,Your opponents can't cast spells from anywhere other than their hands.,,1,3,"IKO, PIKO",Normal,
Lavabrink Venturer,IKO,W,W,Creature,"Human, Soldier",3,Rare,"As Lavabrink Venturer enters the battlefield, choose odd or even. (Zero is even.)
Lavabrink Venturer has protection from each mana value of the chosen quality.",,3,3,"IKO, PIKO",Normal,
Luminous Broodmoth,IKO,W,W,Creature,Insect,4,Mythic,"Flying
Whenever a creature you control without flying dies, return it to the battlefield under its owner's control with a flying counter on it.",Flying,3,4,"IKO, PIKO",Normal,
Mythos of Snapdax,IKO,W,"B, R, W",Sorcery,,4,Rare,"Each player chooses an artifact, a creature, an enchantment, and a planeswalker from among the nonland permanents they control, then sacrifices the rest. If {B}{R} was spent to cast this spell, you choose the permanents for each player instead.",,,,"IKO, PIKO",Normal,
Mythos of Illuna,IKO,U,"G, R, U",Sorcery,,4,Rare,"Create a token that's a copy of target permanent. If {R}{G} was spent to cast this spell, instead create a token that's a copy of that permanent, except the token has ""When this permanent enters the battlefield, if it's a creature, it fights up to one target creature you don't control.""",Fight,,,"IKO, PIKO",Normal,
Shark Typhoon,IKO,U,U,Enchantment,,6,Rare,"Whenever you cast a noncreature spell, create an X/X blue Shark creature token with flying, where X is that spell's mana value.
Cycling {X}{1}{U} ({X}{1}{U}, Discard this card: Draw a card.)
When you cycle Shark Typhoon, create an X/X blue Shark creature token with flying.",Cycling,,,"IKO, PIKO",Normal,
Voracious Greatshark,IKO,U,U,Creature,Shark,5,Rare,"Flash
When Voracious Greatshark enters the battlefield, counter target artifact or creature spell.",Flash,5,4,"IKO, PIKO",Normal,
Extinction Event,IKO,B,B,Sorcery,,4,Rare,Choose odd or even. Exile each creature with mana value of the chosen quality. (Zero is even.),,,,"IKO, PIKO",Normal,
Hunted Nightmare,IKO,B,B,Creature,Nightmare,3,Rare,"Menace
When Hunted Nightmare enters the battlefield, target opponent puts a deathtouch counter on a creature they control.",Menace,4,5,"IKO, PIKO",Normal,
Mythos of Nethroi,IKO,B,"B, G, W",Instant,,3,Rare,Destroy target nonland permanent if it's a creature or if {G}{W} was spent to cast this spell.,,,,"IKO, PIKO",Normal,
Mythos of Vadrok,IKO,R,"R, U, W",Sorcery,,4,Rare,"Mythos of Vadrok deals 5 damage divided as you choose among any number of target creatures and/or planeswalkers. If {W}{U} was spent to cast this spell, until your next turn, those permanents can't attack or block and their activated abilities can't be activated.",,,,"IKO, PIKO",Normal,
Unpredictable Cyclone,IKO,R,R,Enchantment,,5,Rare,"If a cycling ability of another nonland card would cause you to draw a card, instead exile cards from the top of your library until you exile a card that shares a card type with the cycled card. You may cast that card without paying its mana cost. Then put the exiled cards that weren't cast this way on the bottom of your library in a random order.
Cycling {2} ({2}, Discard this card: Draw a card.)",Cycling,,,"IKO, PIKO",Normal,
"Yidaro, Wandering Monster",IKO,R,R,Creature,"Dinosaur, Turtle",7,Rare,"Trample, haste
Cycling {1}{R}
When you cycle Yidaro, Wandering Monster, shuffle it into your library from your graveyard. If you've cycled a card named Yidaro, Wandering Monster four or more times this game, put it onto the battlefield from your graveyard instead. (Do this before you draw.)","Cycling, Haste, Trample",8,8,"IKO, PIKO",Normal,
Colossification,IKO,G,G,Enchantment,Aura,7,Rare,"Enchant creature
When Colossification enters the battlefield, tap enchanted creature.
Enchanted creature gets +20/+20.",Enchant,,,"IKO, PIKO",Normal,
"Kogla, the Titan Ape",IKO,G,G,Creature,Ape,6,Rare,"When Kogla, the Titan Ape enters the battlefield, it fights up to one target creature you don't control.
Whenever Kogla attacks, destroy target artifact or enchantment defending player controls.
{1}{G}: Return target Human you control to its owner's hand. Kogla gains indestructible until end of turn.",Fight,7,6,"IKO, PIKO",Normal,
Mythos of Brokkos,IKO,G,"B, G, U",Sorcery,,4,Rare,"If {U}{B} was spent to cast this spell, search your library for a card, put that card into your graveyard, then shuffle.
Return up to two permanent cards from your graveyard to your hand.",,,,"IKO, PIKO",Normal,
"Chevill, Bane of Monsters",IKO,"B, G","B, G",Creature,"Human, Rogue",2,Mythic,"Deathtouch
At the beginning of your upkeep, if your opponents control no permanents with bounty counters on them, put a bounty counter on target creature or planeswalker an opponent controls.
Whenever a permanent an opponent controls with a bounty counter on it dies, you gain 3 life and draw a card.",Deathtouch,1,3,"IKO, PIKO",Normal,
Death's Oasis,IKO,"B, G, W","B, G, W",Enchantment,,3,Rare,"Whenever a nontoken creature you control dies, mill two cards. Then return a creature card with lesser mana value than the creature that died from your graveyard to your hand.
{1}, Sacrifice Death's Oasis: You gain life equal to the highest mana value among creatures you control.",Mill,,,"IKO, PIKO",Normal,
Eerie Ultimatum,IKO,"B, G, W","B, G, W",Sorcery,,7,Rare,Return any number of permanent cards with different names from your graveyard to the battlefield.,,,,"IKO, PIKO",Normal,
Emergent Ultimatum,IKO,"B, G, U","B, G, U",Sorcery,,7,Rare,Search your library for up to three monocolored cards with different names and exile them. An opponent chooses one of those cards. Shuffle that card into your library. You may cast the other cards without paying their mana costs. Exile Emergent Ultimatum.,,,,"IKO, PIKO",Normal,
Frondland Felidar,IKO,"G, W","G, W",Creature,"Cat, Beast",4,Rare,"Vigilance
Creatures you control with vigilance have ""{1}, {T}: Tap target creature.""",Vigilance,3,5,"IKO, PIKO",Normal,
General Kudro of Drannith,IKO,"B, W","B, W",Creature,"Human, Soldier",3,Mythic,"Other Humans you control get +1/+1.
Whenever General Kudro of Drannith or another Human enters the battlefield under your control, exile target card from an opponent's graveyard.
{2}, Sacrifice two Humans: Destroy target creature with power 4 or greater.",,3,3,"IKO, PIKO",Normal,
Genesis Ultimatum,IKO,"G, R, U","G, R, U",Sorcery,,7,Rare,Look at the top five cards of your library. Put any number of permanent cards from among them onto the battlefield and the rest into your hand. Exile Genesis Ultimatum.,,,,"IKO, PIKO",Normal,
Inspired Ultimatum,IKO,"R, U, W","R, U, W",Sorcery,,7,Rare,"Target player gains 5 life, Inspired Ultimatum deals 5 damage to any target, then you draw five cards.",,,,"IKO, PIKO",Normal,
"Kinnan, Bonder Prodigy",IKO,"G, U","G, U",Creature,"Human, Druid",2,Mythic,"Whenever you tap a nonland permanent for mana, add one mana of any type that permanent produced.
{5}{G}{U}: Look at the top five cards of your library. You may put a non-Human creature card from among them onto the battlefield. Put the rest on the bottom of your library in a random order.",,2,2,"IKO, PIKO",Normal,
Labyrinth Raptor,IKO,"B, R","B, R",Creature,"Nightmare, Dinosaur",2,Rare,"Menace
Whenever a creature you control with menace becomes blocked, defending player sacrifices a creature blocking it.
{B}{R}: Creatures you control with menace get +1/+0 until end of turn.",Menace,2,2,"IKO, PIKO",Normal,
Offspring's Revenge,IKO,"B, R, W","B, R, W",Enchantment,,5,Rare,"At the beginning of combat on your turn, exile target red, white, or black creature card from your graveyard. Create a token that's a copy of that card, except it's 1/1. It gains haste until your next turn.",,,,"IKO, PIKO",Normal,
Quartzwood Crasher,IKO,"G, R","G, R",Creature,"Dinosaur, Beast",5,Rare,"Trample
Whenever one or more creatures you control with trample deal combat damage to a player, create an X/X green Dinosaur Beast creature token with trample, where X is the amount of damage those creatures dealt to that player.",Trample,6,6,"IKO, PIKO",Normal,
"Rielle, the Everwise",IKO,"R, U","R, U",Creature,"Human, Wizard",3,Mythic,"Rielle, the Everwise gets +1/+0 for each instant and sorcery card in your graveyard.
Whenever you discard one or more cards for the first time each turn, draw that many cards.",,0,3,"IKO, PIKO",Normal,
Ruinous Ultimatum,IKO,"B, R, W","B, R, W",Sorcery,,7,Rare,Destroy all nonland permanents your opponents control.,,,,"IKO, PIKO",Normal,
Skycat Sovereign,IKO,"U, W","U, W",Creature,"Elemental, Cat",2,Rare,"Flying
Skycat Sovereign gets +1/+1 for each other creature you control with flying.
{2}{W}{U}: Create a 1/1 white Cat Bird creature token with flying.",Flying,1,1,"IKO, PIKO",Normal,
Slitherwisp,IKO,"B, U","B, U",Creature,"Elemental, Nightmare",3,Rare,"Flash
Whenever you cast another spell that has flash, you draw a card and each opponent loses 1 life.",Flash,3,2,"IKO, PIKO",Normal,
Song of Creation,IKO,"G, R, U","G, R, U",Enchantment,,4,Rare,"You may play an additional land on each of your turns.
Whenever you cast a spell, draw two cards.
At the beginning of your end step, discard your hand.",,,,"IKO, PIKO",Normal,
Titans' Nest,IKO,"B, G, U","B, G, U",Enchantment,,4,Rare,"At the beginning of your upkeep, look at the top card of your library. You may put that card into your graveyard.
Exile a card from your graveyard: Add {C}. Spend this mana only to cast a spell that's one or more colors without {X} in its mana cost.",,,,"IKO, PIKO",Normal,
Whirlwind of Thought,IKO,"R, U, W","R, U, W",Enchantment,,4,Rare,"Whenever you cast a noncreature spell, draw a card.",,,,"IKO, PIKO",Normal,
"Winota, Joiner of Forces",IKO,"R, W","R, W",Creature,"Human, Warrior",4,Mythic,"Whenever a non-Human creature you control attacks, look at the top six cards of your library. You may put a Human creature card from among them onto the battlefield tapped and attacking. It gains indestructible until end of turn. Put the rest of the cards on the bottom of your library in a random order.",,4,4,"IKO, PIKO",Normal,
Fiend Artisan,IKO,"B, G","B, G",Creature,Nightmare,2,Mythic,"Fiend Artisan gets +1/+1 for each creature card in your graveyard.
{X}{B/G}, {T}, Sacrifice another creature: Search your library for a creature card with mana value X or less, put it onto the battlefield, then shuffle. Activate only as a sorcery.",,1,1,"IKO, PIKO",Normal,
"Gyruda, Doom of Depths",IKO,"B, U","B, U",Creature,"Demon, Kraken",6,Rare,"Companion — Your starting deck contains only cards with even mana values. (If this card is your chosen companion, you may put it into your hand from outside the game for {3} any time you could cast a sorcery.)
When Gyruda enters the battlefield, each player mills four cards. Put a creature card with an even mana value from among the milled cards onto the battlefield under your control.","Companion, Mill",6,6,"IKO, PIKO",Normal,
"Jegantha, the Wellspring",IKO,"G, R","B, G, R, U, W",Creature,"Elemental, Elk",5,Rare,"Companion — No card in your starting deck has more than one of the same mana symbol in its mana cost. (If this card is your chosen companion, you may put it into your hand from outside the game for {3} any time you could cast a sorcery.)
{T}: Add {W}{U}{B}{R}{G}. This mana can't be spent to pay generic mana costs.",Companion,5,5,"IKO, PIKO",Normal,
"Kaheera, the Orphanguard",IKO,"G, W","G, W",Creature,"Cat, Beast",3,Rare,"Companion — Each creature card in your starting deck is a Cat, Elemental, Nightmare, Dinosaur, or Beast card. (If this card is your chosen companion, you may put it into your hand from outside the game for {3} any time you could cast a sorcery.)
Vigilance
Each other creature you control that's a Cat, Elemental, Nightmare, Dinosaur, or Beast gets +1/+1 and has vigilance.","Companion, Vigilance",3,2,"IKO, PIKO",Normal,
"Keruga, the Macrosage",IKO,"G, U","G, U",Creature,"Dinosaur, Hippo",5,Rare,"Companion — Your starting deck contains only cards with mana value 3 or greater and land cards. (If this card is your chosen companion, you may put it into your hand from outside the game for {3} any time you could cast a sorcery.)
When Keruga, the Macrosage enters the battlefield, draw a card for each other permanent you control with mana value 3 or greater.",Companion,5,4,"IKO, PIKO",Normal,
Lurrus of the Dream-Den,IKO,"B, W","B, W",Creature,"Cat, Nightmare",3,Rare,"Companion — Each permanent card in your starting deck has mana value 2 or less. (If this card is your chosen companion, you may put it into your hand from outside the game for {3} any time you could cast a sorcery.)
Lifelink
During each of your turns, you may cast one permanent spell with mana value 2 or less from your graveyard.","Companion, Lifelink",3,2,"IKO, PIKO",Normal,
